Region index,Region label,Time,Speed [kmh],Free flow speed [kmh],Congestion level [%],Travel time per 10 km [min],Road network length [km]
0,Rolla,2024-08-01T00:00,85.8,89.9,4.7,6.9,439.865
0,Rolla,2024-08-01T01:00,88.1,93.4,5.9,6.8,439.865
0,Rolla,2024-08-01T02:00,90.7,93.1,2.6,6.6,439.865
0,Rolla,2024-08-01T03:00,91.8,93,1.3,6.5,439.865
0,Rolla,2024-08-01T04:00,88.8,89.3,0.5,6.7,439.865
0,Rolla,2024-08-01T05:00,78.7,81.1,3,7.6,439.865
0,Rolla,2024-08-01T06:00,73.2,75.9,3.6,8.1,439.865
0,Rolla,2024-08-01T07:00,64.8,71.7,10.7,9.2,439.865
0,Rolla,2024-08-01T08:00,66.4,73.9,11.3,9,439.865
0,Rolla,2024-08-01T09:00,69.7,77.2,10.6,8.5,439.865
0,Rolla,2024-08-01T10:00,70.1,78.5,11.9,8.5,439.865
0,Rolla,2024-08-01T11:00,68.4,77.4,13.1,8.7,439.865
0,Rolla,2024-08-01T12:00,69,78.2,13.3,8.6,439.865
0,Rolla,2024-08-01T13:00,70.3,78.6,11.7,8.5,439.865
0,Rolla,2024-08-01T14:00,70.4,78.6,11.6,8.5,439.865
0,Rolla,2024-08-01T15:00,67.9,76.1,12.1,8.8,439.865
0,Rolla,2024-08-01T16:00,66.1,75.4,14,9,439.865
0,Rolla,2024-08-01T17:00,65.8,74.4,13,9.1,439.865
0,Rolla,2024-08-01T18:00,69,74.9,8.5,8.6,439.865
0,Rolla,2024-08-01T19:00,71,76.4,7.5,8.4,439.865
0,Rolla,2024-08-01T20:00,69.5,75.4,8.4,8.6,439.865
0,Rolla,2024-08-01T21:00,67.4,74.5,10.4,8.8,439.865
0,Rolla,2024-08-01T22:00,71,77,8.3,8.4,439.865
0,Rolla,2024-08-01T23:00,79.2,83.5,5.5,7.5,439.865
0,Rolla,2024-08-02T00:00,85.9,88.9,3.5,6.9,439.865
0,Rolla,2024-08-02T01:00,87.1,91.1,4.6,6.8,439.865
0,Rolla,2024-08-02T02:00,92.5,93.6,1.1,6.4,439.865
0,Rolla,2024-08-02T03:00,90,91.5,1.6,6.6,439.865
0,Rolla,2024-08-02T04:00,88.7,89.2,0.5,6.7,439.865
0,Rolla,2024-08-02T05:00,82.3,83.9,1.9,7.2,439.865
0,Rolla,2024-08-02T06:00,73.1,76,3.9,8.2,439.865
0,Rolla,2024-08-02T07:00,68.9,73.8,7,8.6,439.865
0,Rolla,2024-08-02T08:00,69.3,75.5,8.9,8.6,439.865
0,Rolla,2024-08-02T09:00,70.2,76.9,9.6,8.5,439.865
0,Rolla,2024-08-02T10:00,70,78.5,12.2,8.5,439.865
0,Rolla,2024-08-02T11:00,69.7,78.5,12.6,8.5,439.865
0,Rolla,2024-08-02T12:00,66.6,76.9,15.4,8.9,439.865
0,Rolla,2024-08-02T13:00,69.9,79.4,13.6,8.5,439.865
0,Rolla,2024-08-02T14:00,70.7,79.4,12.3,8.4,439.865
0,Rolla,2024-08-02T15:00,69.1,78,12.9,8.6,439.865
0,Rolla,2024-08-02T16:00,67.7,76.7,13.3,8.8,439.865
0,Rolla,2024-08-02T17:00,67,75.9,13.2,8.9,439.865
0,Rolla,2024-08-02T18:00,69.6,76.7,10.2,8.6,439.865
0,Rolla,2024-08-02T19:00,70.7,76.3,7.8,8.4,439.865
0,Rolla,2024-08-02T20:00,71.7,78,8.8,8.3,439.865
0,Rolla,2024-08-02T21:00,70.5,77,9.1,8.5,439.865
0,Rolla,2024-08-02T22:00,70.6,76.5,8.3,8.4,439.865
0,Rolla,2024-08-02T23:00,76.6,81.9,6.9,7.8,439.865
0,Rolla,2024-08-03T00:00,83.3,87,4.4,7.1,439.865
0,Rolla,2024-08-03T01:00,84.6,88,4,7,439.865
0,Rolla,2024-08-03T02:00,84.7,89.2,5.3,7,439.865
0,Rolla,2024-08-03T03:00,89,90.9,2,6.7,439.865
0,Rolla,2024-08-03T04:00,86.6,89.6,3.5,6.9,439.865
0,Rolla,2024-08-03T05:00,85.8,87.4,1.8,6.9,439.865
0,Rolla,2024-08-03T06:00,84.8,84.6,0,7,439.865
0,Rolla,2024-08-03T07:00,79.3,80.6,1.6,7.5,439.865
0,Rolla,2024-08-03T08:00,76.1,79.3,4.2,7.8,439.865
